timestamp_ms,session_id,joint_1_angle_deg,joint_2_angle_deg,joint_3_angle_deg,joint_4_angle_deg,joint_1_torque_Nm,joint_2_torque_Nm,joint_3_torque_Nm,joint_4_torque_Nm,end_effector_x_mm,end_effector_y_mm,end_effector_z_mm,velocity_mm_s,acceleration_mm_s2,battery_voltage_V,current_draw_A,cpu_temp_C,imu_roll_deg,imu_pitch_deg,imu_yaw_deg,lidar_front_mm,lidar_rear_mm,ultrasonic_left_mm,ultrasonic_right_mm,force_sensor_N,task_complete,error_code
6700,S005,30.17,43.17,25.90,21.59,6.07,8.69,5.21,4.35,473.0,85.5,303.6,181.2,105.9,21.96,8.18,48.6,0.33,-0.48,135.74,1381,2568,380,554,4.03,0,2
6750,S005,31.43,44.97,26.98,22.49,5.29,7.57,4.54,3.79,481.3,103.8,310.7,163.3,105.4,21.93,7.44,48.8,0.33,-0.48,135.78,1379,2565,379,554,4.07,0,2
6800,S005,32.12,45.97,27.58,22.99,4.33,6.20,3.72,3.10,488.8,121.2,317.7,141.7,100.0,21.91,6.51,48.9,0.33,-0.48,135.82,1377,2562,378,553,4.01,0,2
6850,S005,32.25,46.16,27.70,23.08,3.23,4.63,2.78,2.31,495.2,137.3,324.6,117.1,90.2,21.89,5.44,49.0,0.32,-0.47,135.85,1376,2560,378,553,3.86,0,2
6900,S005,31.84,45.58,27.35,22.79,2.07,2.96,1.78,1.48,500.5,151.8,331.2,90.5,76.8,21.87,4.29,49.0,0.32,-0.46,135.87,1374,2558,377,552,3.62,0,2
6950,S005,30.94,44.29,26.57,22.15,0.88,1.25,0.75,0.63,504.6,164.4,337.5,62.8,60.4,21.85,3.10,48.9,0.31,-0.45,135.89,1373,2555,376,552,3.32,0,2
7000,S005,29.59,42.36,25.41,21.18,0.26,0.37,0.22,0.19,507.4,175.0,343.4,35.4,41.9,21.83,2.34,48.8,0.30,-0.43,135.90,1371,2553,375,551,2.96,0,2
7050,S005,27.85,39.88,23.93,19.94,1.29,1.84,1.11,0.92,508.9,183.3,348.8,11.1,22.2,21.82,2.97,48.7,0.28,-0.41,135.91,1370,2551,374,551,2.55,0,2
7100,S005,25.77,36.92,22.15,18.46,2.16,3.09,1.85,1.55,509.3,189.3,353.6,15.0,3.2,21.81,3.48,48.5,0.26,-0.38,135.91,1368,2549,373,550,2.11,0,2
7150,S005,23.43,33.57,20.14,16.79,2.85,4.08,2.45,2.04,508.5,193.0,357.8,37.6,21.3,21.80,4.00,48.3,0.24,-0.35,135.91,1367,2547,372,550,1.65,0,2
7200,S005,20.89,29.91,17.95,14.96,3.34,4.78,2.87,2.39,506.8,194.4,361.4,56.6,37.5,21.79,4.31,48.1,0.21,-0.31,135.91,1366,2545,371,549,1.19,0,2
7250,S005,18.21,26.05,15.63,13.03,3.62,5.18,3.11,2.59,504.2,193.6,364.2,71.9,50.4,21.79,4.38,47.8,0.18,-0.27,135.90,1364,2543,370,549,0.75,0,2
7300,S005,15.46,22.12,13.27,11.06,3.69,5.28,3.17,2.64,501.0,190.8,366.4,83.4,59.7,21.78,4.19,47.6,0.15,-0.23,135.89,1363,2541,369,548,0.36,0,2
7350,S005,12.68,18.15,10.89,9.08,3.55,5.08,3.05,2.54,497.4,186.1,368.0,90.9,65.2,21.78,3.78,47.3,0.12,-0.18,135.88,1362,2540,368,548,0.07,0,2
7400,S005,9.93,14.22,8.53,7.11,3.23,4.62,2.77,2.31,493.6,179.8,369.1,94.5,67.0,21.77,3.19,47.1,0.09,-0.14,135.87,1360,2538,367,547,0.00,0,2
7450,S005,7.27,10.40,6.24,5.20,2.75,3.94,2.36,1.97,489.8,172.2,369.8,94.2,65.2,21.77,2.48,46.8,0.06,-0.09,135.86,1359,2536,367,547,0.00,0,2
7500,S005,4.73,6.77,4.06,3.39,2.15,3.08,1.85,1.54,486.0,163.5,370.1,90.2,60.2,21.77,1.72,46.6,0.04,-0.05,135.85,1358,2535,366,546,0.00,0,2
7550,S005,2.38,3.40,2.04,1.70,1.48,2.11,1.27,1.06,482.5,154.1,370.0,83.0,52.2,21.76,1.00,46.3,0.02,-0.02,135.84,1357,2534,365,546,0.00,0,2
7600,S005,0.27,0.38,0.23,0.19,0.77,1.10,0.66,0.55,479.3,144.2,369.7,73.2,41.6,21.76,0.37,46.1,0.00,0.00,135.83,1356,2532,364,545,0.00,0,2
7650,S005,0.00,0.00,0.00,0.00,0.09,0.12,0.07,0.06,476.5,134.0,369.2,61.4,29.9,21.76,0.12,45.9,0.00,0.00,135.82,1355,2531,363,545,0.00,1,2
